logFC	AveExpr	t	P.Value	adj.P.Val	B
Gas7	2.15577431226227	3.72961320821354	5.81808405598799	1.06529321877862e-05	0.00179377245391787	3.53397972773035
Parp1	-1.19007014469309	9.14861340900603	-5.82385589209402	1.05172036777199e-05	0.00178996021302098	3.44415249581245
Nek7	0.933339542219724	6.1172823251019	5.80050588118974	1.10774435551803e-05	0.00182928601994356	3.41873578772788
Gprin3	1.79779370291579	1.24830043170741	5.7518503574061	1.23450611648373e-05	0.00197371341532369	3.40460414220213
Serpinb6a	1.08523689893231	6.73816493274849	5.79979434422401	1.10949872324098e-05	0.00182928601994356	3.40050300470938
Tor4a	1.862227000819	4.03808858234785	5.75345662251101	1.23009310661082e-05	0.00197371341532369	3.39351574706742
Anxa8	2.07567589179333	4.61656169303861	5.77050844180331	1.18422845938115e-05	0.0019323678407304	3.3343091098914
Adamts20	-1.61567226764439	2.28828209103609	-5.68826362181916	1.42286207278472e-05	0.00214486294171776	3.26200451471056
Lpar1	2.24594138253324	4.37757996560151	5.6894184184001	1.41919170216395e-05	0.00214486294171776	3.2472485986876
Cav1	4.11839268277152	4.52027063006248	5.7032505261334	1.3759731091393e-05	0.00211820842467034	3.2242293741401
Ctsk	3.21926741182563	1.62439445589806	5.70245735273243	1.37841463066114e-05	0.00211820842467034	3.21576302886052
Myof	2.60678797511821	6.08776565829935	5.70562577244371	1.3686881140634e-05	0.00211820842467034	3.18129744036923
Col18a1	2.01230110694803	6.4781348391851	5.68350122433706	1.43810156281095e-05	0.00214738410718601	3.16199629011078
Col6a2	3.25406789922254	4.40531399677287	5.66134002973233	1.5112419265974e-05	0.00223219470657856	3.15142207312871
Adamts4	2.0155696178857	3.07944910888449	5.62491289920972	1.63982925306282e-05	0.00233830787544849	3.13530944293069
Nabp1	1.75683389420855	5.28956177507107	5.65784924471145	1.52310480357901e-05	0.00223219470657856	3.13082899615477
Leprot	1.14208883292883	5.80252829901953	5.649339445485	1.55242444675332e-05	0.00225429120579922	3.11895727674059
Spryd3	1.21958628234032	4.52179011725499	5.62056780038827	1.65589635262072e-05	0.00234013638118578	3.11880890027762
Map1a	3.32688644057942	4.15849887164905	5.58683261365498	1.78624170427634e-05	0.00248005558730578	3.05656843897036
Pdgfrb	3.61543964714044	4.3131795618437	5.5827516876681	1.80270478509858e-05	0.00248114881204698	3.04354955733413
